id,codigo_org,idorg,organismo,codigo_padre,padre_org,region,municipalidad,direccion,telefono,url_organismo,url_orgtransparencia,horario_publico,nombre_encargado,email,num_cuenta,rut,tipo_cuenta,banco,url_sai,fax,ingresa,obligadorecibir_sai,organismo_autonomo,interopera,tiene_ta,fecha_ta,activado,municipal,fecha_max,fecha_min
39562,CM062,331500.0,Corporación Municipal de Deportes de Iquique (CORMUDEPI),CM000,Corporaciones Municipales,Región de Tarapacá,IQUIQUE,Esmeralda #580,+56 9 5719 3396,https://www.cormudepi.cl,http://,Lunes a Viernes de 8:30 a 14:00 y de 15:00 a 17:00 hrs,,rrpp@cormudepi.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2021-11-19,SÍ,1,,
39563,AJ032,343100.0,Servicio Local de Educación Pública de Iquique (SLEP Iquique),AJ000,Educación,Región de Tarapacá,IQUIQUE,Edificio Esmeralda oficina 1210 y 1310,,https://slepiquique.cl/,http://,Lunes a Jueves 09:00 a 14:00 horas.  Viernes 09:00 a 14:00 horas.,,Transparencia@slepiquique.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2023-02-22,SÍ,0,,
39564,AO051,56351.0,SEREMI de Salud región de Los Lagos,AO000,Salud,Región de Los Lagos,PUERTO MONTT,Antonio Varas N55 edificio Capital piso 10,(65) 2 326100,https://seremi10.redsalud.gob.cl/,http://transparencia.redsalud.gov.cl/transparencia/?id=SEREMI10,Lunes a Viernes desde las 8:30 hrs a las 14:00 hrs.,Karina Perez Mora,transparencia.loslagos@redsalud.gob.cl,,,,,http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AO051,(65) 2 326149,Ingresa,SÍ,NO,NO,SÍ,2018-01-01,SÍ,0,,
39565,AJ028,330802.0,Servicio Local de Educación Pública Llanquihue (SLEP Llanquihue),AJ000,Educación,Región de Los Lagos,FRUTILLAR,Cristino Winkler N410 segundo piso,652202495,https://llanquihue.educacionpublica.cl,http://,,,oficina.partes@slepllanquihue.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2021-01-25,SÍ,0,,
39566,AJ031,343000.0,Servicio Local de Educación Pública de Aysén (SLEP Aysén),AJ000,Educación,Región de Aysén del General Carlos Ibáñez del Campo,COYHAIQUE,José de Moraleda N437  Coyhaique,,https://slepaysen.cl/,http://,Lunes a Jueves 08:30 a 17:30 horas Viernes 08:30 a 16:30 horas,,transparencia@slepaysen.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2023-02-14,SÍ,0,,
39567,CM144,6719.0,Corporación de Deporte y Recreacion de La Municipalidad de Aysén,CM000,Corporaciones Municipales,Región de Aysén del General Carlos Ibáñez del Campo,AYSÉN,Benigno Diaz 15,672336557,https://www.aysendeportes.cl/,https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=16c9089f15241d488c31dee577bfe170,,,transparenciacorporaciondedeportes@puertoaysen.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2023-04-18,SÍ,1,,
39568,MU013,473.0,Municipalidad de Aysén,MU000,Municipios de Aysen del General Carlos Ibáñez del Campo,Región de Aysén del General Carlos Ibáñez del Campo,AYSÉN,Esmeralda Nº 607,(67) 336500,http://www.puertoaysen.cl,http://,,,transparencia_registro@puertoaysen.cl,,,Cuenta Corriente,Bancoestado,http://transparencia.puertoaysen.cl/solicitudinformacion/,,No ingresa,SÍ,NO,NO,SÍ,2017-12-28,SÍ,1,,
39569,AJ030,342900.0,Servicio Local de Educación Pública de Magallanes (SLEP Magallanes),AJ000,Educación,Región de Magallanes y de la Antártica Chilena,PUNTA ARENAS,Lautaro Navarro N 1021  Punta Arenas,612427688,https://slepmagallanes.cl/,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ030,De Lunes a Viernes de 9:00 a 14:00 horas,,ivan.gonzalez@slepmagallanes.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2023-03-30,SÍ,0,,
39570,FU022,345000.0,Fundación para el Desarrollo de la Cultura y las Artes de la comuna de Punta Arenas,FU000,Fund. Corp. Asoc. NO municipales,Región de Magallanes y de la Antártica Chilena,PUNTA ARENAS,Magallanes #823,,https://fundacionculturalpuntaarenas.cl,https://fundacionculturalpuntaarenas.cl/ley-de-lobby/,,,fundacionculturalpa@gmail.com,,,,,http://,,No ingresa,SÍ,NO,NO,SÍ,2024-08-19,SÍ,0,,
39571,AE013,58350.0,Administradora de los Tribunales Tributarios y Aduaneros y del Tribunal de Contratación Pública,AE000,Hacienda,Región Metropolitana de Santiago,SANTIAGO,Teatinos 120 Quinto Piso,+56 2 4817002,https://www.atta.gov.cl/,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AE013,Lunes a Viernes de 09:00 a 18:00 hrs.,Felipe González,contacto@atta.gov.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2018-10-17,SÍ,0,,
